discount_percentage,rating,discounted_price,actual_price,rating_count,price_ratio,price_diff,label,label_code
64.0,4.2,5.991464547107982,7.003065458786462,10.096996298720647,0.8555488424845058,1.0116009116784799,Qualified,1
43.0,4.0,5.298317366548036,5.857933154483459,10.69183127007966,0.9044687310050453,0.5596157879354227,Qualified,1
90.0,3.9,5.298317366548036,7.549609165154532,8.978282203272398,0.7018002191428125,2.2512917986064958,Bad,0
53.0,4.2,5.799092654460526,6.551080335043404,11.454914923466722,0.8852116533268102,0.7519876805828787,Qualified,1
61.0,4.2,5.043425116919247,5.991464547107982,9.735423867488873,0.8417683318102344,0.9480394301887349,Qualified,1
85.0,3.9,5.0106352940962555,6.90875477931522,10.12149795173859,0.725258813512686,1.898119485218965,Bad,0
65.0,4.1,5.179702735211794,6.214608098422191,9.62832676063802,0.8334721438873762,1.034905363210397,Qualified,1
23.0,4.3,5.438079308923196,5.703782474656201,10.322592546348327,0.9534163220786184,0.26570316573300534,Qualified,1
50.0,4.2,6.214608098422191,6.907755278982137,12.098999553138485,0.8996566681120063,0.6931471805599454,Qualified,1
33.0,4.0,5.298317366548036,5.703782474656201,10.69183127007966,0.928912943312656,0.4054651081081646,Qualified,1
55.0,4.3,5.043425116919247,5.8289456176102075,9.502412792729256,0.8652379774623778,0.7855205006909607,Qualified,1
63.0,4.2,5.703782474656201,6.684611727667927,11.454914923466722,0.8532705723277798,0.9808292530117262,Qualified,1
69.0,4.4,5.393627546352361,6.55250788703459,12.964478400427152,0.8231394207132052,1.158880340682229,Qualified,1
61.0,4.2,5.860786223465865,6.802394763324311,7.724446645633537,0.8615769045138033,0.9416085398584455,Qualified,1
60.0,4.1,5.075173815233827,5.991464547107982,8.469891918298224,0.8470673197396388,0.9162907318741551,Qualified,1
13.0,4.4,5.857933154483459,5.991464547107982,9.839375607068884,0.9777130630458329,0.13353139262452274,Qualified,1
44.0,4.2,9.546812608597396,10.126631103850338,10.399433013772667,0.9427431996577338,0.5798184952529422,Qualified,1
38.0,4.0,5.521460917862246,5.991464547107982,10.69183127007966,0.9215544671006021,0.4700036292457357,Qualified,1
60.0,4.1,5.298317366548036,6.214608098422191,9.476236852356042,0.8525585656629274,0.9162907318741551,Qualified,1
39.0,4.3,9.509778075438817,9.998388557730848,9.390743422947507,0.9511310768259518,0.48861048229203163,Qualified,1
46.0,4.5,6.878326468291325,7.495541943884256,6.704414354964107,0.9176556571607837,0.6172154755929311,Good,2
44.0,3.7,5.634789603169249,6.214608098422191,9.30228124567454,0.906700714498771,0.5798184952529422,Bad,0
