discounted_price,actual_price,discount_percentage,price_ratio,price_diff,discount_amount,is_heavy_discount,is_light_discount,price_volatility,price_category,discount_category,value_score,rating,rating_label
399.0,1099.0,64.0,0.3630573248407313,700.0,700.0,1,0,0.6369426751591777,5,4,0.03300521134915739,4.2,1
199.0,349.0,43.0,0.5702005730657392,150.0,150.0,0,0,0.42979942693397427,3,3,0.16291444944735406,4.0,1
199.0,1899.0,90.0,0.10479199578725093,1700.0,1700.0,1,0,0.8952080042126964,5,4,0.005515368199328996,3.9,0
329.0,699.0,53.0,0.4706723891272574,370.0,370.0,1,0,0.5293276108725995,4,4,0.06723891273246535,4.2,1
154.0,399.0,61.0,0.38596491228060503,245.0,245.0,1,0,0.6140350877191444,3,4,0.09649122807015126,4.2,1
149.0,1000.0,85.0,0.1489999999999851,851.0,851.0,1,0,0.8509999999999148,4,4,0.014885114885113395,3.9,0
176.63,499.0,65.0,0.3539679358716726,322.37,322.37,1,0,0.6460320641281271,3,4,0.07079358717433452,4.1,1
229.0,299.0,23.0,0.765886287625162,70.0,70.0,0,0,0.23411371237450365,3,2,0.2552954292083873,4.3,1
499.0,999.0,50.0,0.4994994994994495,500.0,500.0,0,0,0.5005005005004504,4,3,0.04994994994994495,4.2,1
199.0,299.0,33.0,0.6655518394646603,100.0,100.0,0,0,0.3344481605350052,3,3,0.22185061315488677,4.0,1
154.0,339.0,55.0,0.45427728613555923,185.0,185.0,1,0,0.5457227138641458,3,4,0.1336109665104586,4.3,1
299.0,799.0,63.0,0.37421777221522223,500.0,500.0,1,0,0.6257822277846525,4,4,0.04677722152690277,4.2,1
219.0,700.0,69.0,0.31285714285709815,481.0,481.0,1,0,0.6871428571427589,4,4,0.044630120236390604,4.4,1
350.0,899.0,61.0,0.3893214682980657,549.0,549.0,1,0,0.6106785317018231,4,4,0.0432579409220073,4.2,1
159.0,399.0,60.0,0.3984962406014039,240.0,240.0,1,0,0.6015037593983455,3,4,0.09962406015035097,4.1,1
349.0,399.0,13.0,0.8746867167917608,50.0,50.0,0,0,0.12531328320798865,3,1,0.2186716791979402,4.4,1
13999.0,24999.0,44.0,0.5599823992959696,11000.0,11000.0,0,0,0.44001760070402646,5,3,0.0022399295971838786,4.2,1
249.0,399.0,38.0,0.6240601503757834,150.0,150.0,0,0,0.3759398496239659,3,3,0.15601503759394586,4.0,1
199.0,499.0,60.0,0.39879759519030084,300.0,300.0,1,0,0.6012024048094988,3,4,0.07975951903806017,4.1,1
13490.0,21990.0,39.0,0.613460663938151,8500.0,8500.0,0,0,0.38653933606184454,5,3,0.0027895987628491245,4.3,1
970.0,1799.0,46.0,0.5391884380210928,829.0,829.0,0,0,0.46081156197885154,5,3,0.02995491322339405,4.5,2
279.0,499.0,44.0,0.5591182364728339,220.0,220.0,0,0,0.4408817635269658,3,3,0.11182364729456677,3.7,0
13490.0,22900.0,41.0,0.5890829694323119,9410.0,9410.0,0,0,0.4109170305676838,5,3,0.002572302386063106,4.3,1
59.0,199.0,70.0,0.2964824120601525,140.0,140.0,1,0,0.703517587939345,2,4,0.14824120603007626,4.0,1
11499.0,19990.0,42.0,0.5752376188094018,8491.0,8491.0,0,0,0.42476238119059323,5,3,0.00287748296137963,4.3,1
199.0,699.0,72.0,0.2846924177395873,500.0,500.0,1,0,0.7153075822602696,4,4,0.040670345391369614,4.2,1
14999.0,19999.0,25.0,0.7499874993749651,5000.0,5000.0,0,0,0.25001250062503,5,2,0.0037499374968748256,4.2,1
299.0,399.0,25.0,0.7493734335837721,100.0,100.0,0,0,0.2506265664159773,3,2,0.18734335839594302,4.0,1
970.0,1999.0,51.0,0.48524262131063106,1029.0,1029.0,1,0,0.5147573786893189,5,4,0.02426213106553155,4.4,1
299.0,999.0,70.0,0.29929929929926935,700.0,700.0,1,0,0.7007007007006305,4,4,0.029929929929926935,4.3,1
199.0,750.0,73.0,0.26533333333329795,551.0,551.0,1,0,0.7346666666665687,4,4,0.03533067021748308,4.5,2
179.0,499.0,64.0,0.3587174348696676,320.0,320.0,1,0,0.641282565130132,3,4,0.07174348697393353,4.0,1
389.0,1099.0,65.0,0.3539581437670287,710.0,710.0,1,0,0.6460418562328802,5,4,0.03217801306972989,4.3,1
599.0,599.0,0.0,0.999999999999833,0.0,0.0,0,1,0.0,4,0,0.16666666666663885,4.3,1
199.0,999.0,80.0,0.19919919919917925,800.0,800.0,1,0,0.8008008008007206,4,4,0.019919919919917924,3.9,0
99.0,666.66,85.0,0.14850148501482788,567.66,567.66,1,0,0.851498514985022,4,4,0.02224208204996973,3.9,0
899.0,1900.0,53.0,0.4731578947368172,1001.0,1001.0,1,0,0.5268421052631301,5,4,0.02488994711924341,4.4,1
199.0,999.0,80.0,0.19919919919917925,800.0,800.0,1,0,0.8008008008007206,4,4,0.019919919919917924,4.0,1
32999.0,45999.0,28.0,0.7173851605469668,13000.0,13000.0,0,0,0.28261483945303095,5,2,0.0015595329577107974,4.2,1
970.0,1999.0,51.0,0.48524262131063106,1029.0,1029.0,1,0,0.5147573786893189,5,4,0.02426213106553155,4.2,1
209.0,695.0,70.0,0.30071942446038835,486.0,486.0,1,0,0.6992805755394677,4,4,0.0432068138592512,4.5,2
19999.0,34999.0,43.0,0.5714163261807463,15000.0,15000.0,0,0,0.4285836738192507,5,3,0.0016326180748021323,4.3,1
399.0,1099.0,64.0,0.3630573248407313,700.0,700.0,1,0,0.6369426751591777,5,4,0.03300521134915739,4.2,1
999.0,1599.0,38.0,0.6247654784239759,600.0,600.0,0,0,0.3752345215759615,5,3,0.03904784240149849,4.3,1
59.0,199.0,70.0,0.2964824120601525,140.0,140.0,1,0,0.703517587939345,2,4,0.14824120603007626,4.0,1
333.0,999.0,67.0,0.33333333333329995,666.0,666.0,1,0,0.6666666666665999,4,4,0.033333333333329995,3.3,0
507.0,1208.0,58.0,0.41970198675493214,701.0,701.0,1,0,0.5802980132449851,5,4,0.03471480452894393,4.1,1
309.0,475.0,35.0,0.6505263157893367,166.0,166.0,0,0,0.3494736842104528,3,3,0.1366651923927178,4.4,1
399.0,999.0,60.0,0.3993993993993594,600.0,600.0,1,0,0.6006006006005404,4,4,0.03993993993993594,3.6,0
199.0,395.0,50.0,0.5037974683543028,196.0,196.0,0,0,0.49620253164544403,3,3,0.12722158291775323,4.2,1
1199.0,2199.0,45.0,0.5452478399272148,1000.0,1000.0,0,0,0.45475216007273966,5,3,0.02478399272396431,4.4,1
179.0,500.0,64.0,0.35799999999992843,321.0,321.0,1,0,0.6419999999998716,3,4,0.07145708582832902,4.2,1
799.0,2100.0,62.0,0.38047619047617237,1301.0,1301.0,1,0,0.6195238095237801,5,4,0.018109290360598402,4.3,1
6999.0,12999.0,46.0,0.5384260327717475,6000.0,6000.0,0,0,0.4615739672282448,5,3,0.004141738713628827,4.2,1
199.0,349.0,43.0,0.5702005730657392,150.0,150.0,0,0,0.42979942693397427,3,3,0.16291444944735406,4.1,1
230.0,499.0,54.0,0.4609218436872824,269.0,269.0,1,0,0.5390781563125172,3,4,0.09218436873745649,3.7,0
649.0,1399.0,54.0,0.4639027877054708,750.0,750.0,1,0,0.5360972122944577,5,4,0.03313591340753363,4.2,1
15999.0,21999.0,27.0,0.7272603300149975,6000.0,6000.0,0,0,0.2727396699849981,5,2,0.003305728772795443,4.2,1
348.0,1499.0,77.0,0.23215476984654887,1151.0,1151.0,1,0,0.7678452301533844,5,4,0.015476984656436592,4.2,1
154.0,349.0,56.0,0.44126074498554696,195.0,195.0,1,0,0.5587392550141665,3,4,0.12607449856729913,4.3,1
179.0,799.0,78.0,0.22403003754690562,620.0,620.0,1,0,0.7759699624529691,4,4,0.028003754693363202,3.7,0
32990.0,47900.0,31.0,0.6887265135699359,14910.0,14910.0,0,0,0.311273486430062,5,3,0.0014378123913278134,4.3,1
139.0,999.0,86.0,0.1391391391391252,860.0,860.0,1,0,0.8608608608607746,4,4,0.01391391391391252,4.0,1
329.0,845.0,61.0,0.3893491124259894,516.0,516.0,1,0,0.6106508875738922,4,4,0.04602235371465596,4.2,1
13999.0,24999.0,44.0,0.5599823992959696,11000.0,11000.0,0,0,0.44001760070402646,5,3,0.0022399295971838786,4.2,1
309.0,1400.0,78.0,0.22071428571426993,1091.0,1091.0,1,0,0.7792857142856586,5,4,0.015754053227285503,4.4,1
263.0,699.0,62.0,0.3762517882689018,436.0,436.0,1,0,0.6237482117309551,4,4,0.05375025546698598,4.1,1
7999.0,14990.0,47.0,0.533622414943292,6991.0,6991.0,0,0,0.46637758505670135,5,3,0.0035596185374110597,4.3,1
1599.0,2999.0,47.0,0.5331777259086184,1400.0,1400.0,0,0,0.4668222740913482,5,3,0.017772590863620614,4.2,1
219.0,700.0,69.0,0.31285714285709815,481.0,481.0,1,0,0.6871428571427589,4,4,0.044630120236390604,4.3,1
349.0,899.0,61.0,0.3882091212457855,550.0,550.0,1,0,0.6117908787541032,4,4,0.04313434680508728,4.5,2
349.0,599.0,42.0,0.5826377295491514,250.0,250.0,0,0,0.4173622704506815,4,3,0.0971062882581919,4.1,1
26999.0,42999.0,37.0,0.6278983232168175,16000.0,16000.0,0,0,0.3721016767831801,5,3,0.0014602286586437615,4.2,1
115.0,499.0,77.0,0.2304609218436412,384.0,384.0,1,0,0.7695390781561584,3,4,0.046092184368728244,4.0,1
399.0,999.0,60.0,0.3993993993993594,600.0,600.0,1,0,0.6006006006005404,4,4,0.03993993993993594,4.1,1
199.0,499.0,60.0,0.39879759519030084,300.0,300.0,1,0,0.6012024048094988,3,4,0.07975951903806017,4.1,1
179.0,399.0,55.0,0.44862155388459934,220.0,220.0,1,0,0.5513784461151501,3,4,0.11215538847114984,4.0,1
10901.0,30990.0,65.0,0.35175863181671396,20089.0,20089.0,1,0,0.6482413681832829,5,4,0.0011350347901542834,4.1,1
209.0,499.0,58.0,0.4188376753506175,290.0,290.0,1,0,0.5811623246491822,3,4,0.0837675350701235,3.9,0
1434.0,3999.0,64.0,0.358589647411844,2565.0,2565.0,1,0,0.641410352588131,5,4,0.0089647411852961,4.0,1
399.0,1099.0,64.0,0.3630573248407313,700.0,700.0,1,0,0.6369426751591777,5,4,0.03300521134915739,4.2,1
139.0,249.0,44.0,0.5582329317266834,110.0,110.0,0,0,0.44176706827291495,3,3,0.22329317269067336,4.0,1
7299.0,19125.0,62.0,0.38164705882352745,11826.0,11826.0,1,0,0.6183529411764674,5,4,0.001995435840340518,3.4,0
299.0,799.0,63.0,0.37421777221522223,500.0,500.0,1,0,0.6257822277846525,4,4,0.04677722152690277,4.4,1
325.0,1299.0,75.0,0.25019245573516163,974.0,974.0,1,0,0.7498075442647614,5,4,0.019245573518089355,4.2,1
29999.0,39999.0,25.0,0.7499937498437442,10000.0,10000.0,0,0,0.2500062501562533,5,2,0.0018749843746093606,4.2,1
27999.0,40990.0,32.0,0.6830690412295665,12991.0,12991.0,0,0,0.31693095877043104,5,3,0.0016663878442330427,4.3,1
30990.0,52900.0,41.0,0.5858223062381841,21910.0,21910.0,0,0,0.41417769376181396,5,3,0.0011073936338409183,4.3,1
199.0,999.0,80.0,0.19919919919917925,800.0,800.0,1,0,0.8008008008007206,4,4,0.019919919919917924,4.5,2
649.0,1999.0,68.0,0.32466233116556653,1350.0,1350.0,1,0,0.6753376688343834,5,4,0.016233116558278325,4.2,1
269.0,800.0,66.0,0.33624999999995797,531.0,531.0,1,0,0.663749999999917,4,4,0.04197877652933307,3.6,0
24999.0,31999.0,22.0,0.7812431638488678,7000.0,7000.0,0,0,0.21875683615112906,5,2,0.002441384887027712,4.2,1
299.0,699.0,57.0,0.4277539341916412,400.0,400.0,1,0,0.5722460658082157,4,4,0.06110770488452017,4.2,1
199.0,999.0,80.0,0.19919919919917925,800.0,800.0,1,0,0.8008008008007206,4,4,0.019919919919917924,4.1,1
18990.0,40990.0,54.0,0.46328372773847165,22000.0,22000.0,1,0,0.5367162722615259,5,4,0.001130208406085413,4.2,1
290.0,349.0,17.0,0.830945558739017,59.0,59.0,0,0,0.16905444126069655,3,1,0.23741301678257629,3.7,0
249.0,799.0,69.0,0.311639549436757,550.0,550.0,1,0,0.6883604505631178,4,4,0.03895494367959462,3.8,0
345.0,999.0,65.0,0.34534534534531075,654.0,654.0,1,0,0.654654654654589,4,4,0.03453453453453108,3.7,0
1099.0,1899.0,42.0,0.5787256450763255,800.0,800.0,0,0,0.4212743549236218,5,3,0.030459244477701344,4.5,2
719.0,1499.0,52.0,0.47965310206801337,780.0,780.0,1,0,0.5203468979319199,5,4,0.03197687347120089,4.1,1
349.0,1499.0,77.0,0.2328218812541539,1150.0,1150.0,1,0,0.7671781187457793,5,4,0.015521458750276928,4.3,1
849.0,1809.0,53.0,0.46932006633496576,960.0,960.0,1,0,0.5306799336649789,5,4,0.025929285432871037,4.3,1
299.0,899.0,67.0,0.33259176863177614,600.0,600.0,1,0,0.6674082313681126,4,4,0.03695464095908624,4.0,1
21999.0,29999.0,27.0,0.7333244441481359,8000.0,8000.0,0,0,0.26667555585186087,5,2,0.0024444148138271196,4.2,1
349.0,999.0,65.0,0.3493493493493144,650.0,650.0,1,0,0.6506506506505855,4,4,0.03493493493493144,4.2,1
399.0,999.0,60.0,0.3993993993993594,600.0,600.0,1,0,0.6006006006005404,4,4,0.03993993993993594,4.3,1
449.0,1299.0,65.0,0.3456505003848849,850.0,850.0,1,0,0.6543494996150382,5,4,0.026588500029606527,4.2,1
299.0,999.0,70.0,0.29929929929926935,700.0,700.0,1,0,0.7007007007006305,4,4,0.029929929929926935,4.3,1
37999.0,65000.0,42.0,0.5845999999999991,27001.0,27001.0,0,0,0.4153999999999993,5,3,0.0008993707789110922,4.3,1
99.0,800.0,88.0,0.12374999999998453,701.0,701.0,1,0,0.8762499999998904,4,4,0.01544943820224526,3.9,0
7390.0,20000.0,63.0,0.36949999999999816,12610.0,12610.0,1,0,0.630499999999997,5,4,0.00184740762961851,4.1,1
273.1,999.0,73.0,0.273373373373346,725.9,725.9,1,0,0.7266266266265539,4,4,0.027337337337334598,4.3,1
15990.0,23990.0,33.0,0.666527719883282,8000.0,8000.0,0,0,0.3334722801167139,5,3,0.0027782406730994203,4.3,1
399.0,999.0,60.0,0.3993993993993594,600.0,600.0,1,0,0.6006006006005404,4,4,0.03993993993993594,4.1,1
399.0,1999.0,80.0,0.19959979989993998,1600.0,1600.0,1,0,0.80040020010001,5,4,0.009979989994996998,4.5,2
210.0,399.0,47.0,0.5263157894735523,189.0,189.0,0,0,0.4736842105261971,3,3,0.13157894736838807,4.1,1
1299.0,1999.0,35.0,0.6498249124561956,700.0,700.0,0,0,0.35017508754375437,5,3,0.03249124562280978,3.6,0
347.0,999.0,65.0,0.34734734734731254,652.0,652.0,1,0,0.6526526526525873,4,4,0.03473473473473126,3.5,0
149.0,999.0,85.0,0.1491491491491342,850.0,850.0,1,0,0.8508508508507656,4,4,0.01491491491491342,4.0,1
228.0,899.0,75.0,0.2536151279198828,671.0,671.0,1,0,0.7463848720800059,4,4,0.028179458657764753,3.8,0
1599.0,1999.0,20.0,0.7998999499749475,400.0,400.0,0,0,0.2001000500250025,5,1,0.039994997498747374,4.4,1
1499.0,3999.0,63.0,0.37484371092772256,2500.0,2500.0,1,0,0.6251562890722524,5,4,0.009371092773193064,3.7,0
8499.0,15999.0,47.0,0.5312207012938276,7500.0,7500.0,0,0,0.4687792987061662,5,3,0.003320129383086422,4.3,1
20990.0,44990.0,53.0,0.46654812180484445,24000.0,24000.0,1,0,0.5334518781951533,5,4,0.0010369810002108077,4.1,1
32999.0,44999.0,27.0,0.7333274072757155,12000.0,12000.0,0,0,0.2666725927242822,5,2,0.0016296164606127014,4.2,1
799.0,1700.0,53.0,0.46999999999997233,901.0,901.0,1,0,0.5299999999999688,5,4,0.027630805408581562,4.1,1
229.0,595.0,62.0,0.3848739495797672,366.0,366.0,1,0,0.6151260504200646,4,4,0.0645761660368737,4.3,1
9999.0,27990.0,64.0,0.35723472668810163,17991.0,17991.0,1,0,0.6427652733118948,5,4,0.0012762485323429018,4.2,1
349.0,599.0,42.0,0.5826377295491514,250.0,250.0,0,0,0.4173622704506815,4,3,0.0971062882581919,4.2,1
489.0,1200.0,59.0,0.407499999999966,711.0,711.0,1,0,0.5924999999999506,5,4,0.03393005828475987,4.4,1
23999.0,34990.0,31.0,0.6858816804801352,10991.0,10991.0,0,0,0.3141183195198619,5,3,0.001960165986911306,4.3,1
399.0,999.0,60.0,0.3993993993993594,600.0,600.0,1,0,0.6006006006005404,4,4,0.03993993993993594,4.3,1
349.0,1299.0,73.0,0.2686682063125274,950.0,950.0,1,0,0.7313317936873955,5,4,0.020666785100963647,4.0,1
179.0,299.0,40.0,0.5986622073576593,120.0,120.0,0,0,0.40133779264200625,3,3,0.19955406911921977,3.9,0
689.0,1500.0,54.0,0.4593333333333027,811.0,811.0,1,0,0.5406666666666307,5,4,0.0306018210082147,4.2,1
30990.0,49990.0,38.0,0.6199239847969581,19000.0,19000.0,0,0,0.38007601520303985,5,3,0.0012400711824067494,4.3,1
249.0,931.0,73.0,0.2674543501610883,682.0,682.0,1,0,0.7325456498388042,4,4,0.02869681868681205,3.9,0
999.0,2399.0,58.0,0.41642350979573084,1400.0,1400.0,1,0,0.5835764902042274,5,4,0.017350979574822116,4.6,2
399.0,399.0,0.0,0.9999999999997494,0.0,0.0,0,1,0.0,3,0,0.24999999999993736,3.9,0
349.0,699.0,50.0,0.49928469241766815,350.0,350.0,0,0,0.5007153075821887,4,3,0.07132638463109545,4.3,1
399.0,1099.0,64.0,0.3630573248407313,700.0,700.0,1,0,0.6369426751591777,5,4,0.03300521134915739,4.1,1
1699.0,2999.0,43.0,0.5665221740580004,1300.0,1300.0,0,0,0.4334778259419662,5,3,0.018884072468600015,4.4,1
655.0,1099.0,40.0,0.5959963603275162,444.0,444.0,0,0,0.4040036396723927,5,3,0.054181487302501476,3.2,0
749.0,1339.0,44.0,0.5593726661687409,590.0,590.0,0,0,0.4406273338311844,5,3,0.041744228818562754,4.2,1
9999.0,12999.0,23.0,0.7692130163858699,3000.0,3000.0,0,0,0.2307869836141224,5,2,0.00591702320296823,4.2,1
195.0,499.0,61.0,0.3907815631261742,304.0,304.0,1,0,0.6092184368736254,3,4,0.07815631262523483,3.7,0
999.0,2100.0,52.0,0.47571428571426305,1101.0,1101.0,1,0,0.5242857142856893,5,4,0.022642279186780724,4.5,2
499.0,899.0,44.0,0.5550611790878136,400.0,400.0,0,0,0.4449388209120751,4,3,0.0616734643430904,4.2,1
416.0,599.0,31.0,0.6944908180299341,183.0,183.0,0,0,0.3055091819698989,4,3,0.11574846967165567,4.2,1
368.0,699.0,47.0,0.5264663805435584,331.0,331.0,0,0,0.47353361945629846,4,3,0.07520948293479406,4.2,1
29990.0,65000.0,54.0,0.46138461538461467,35010.0,35010.0,1,0,0.5386153846153837,5,4,0.000709811565029176,4.1,1
